,name
0,windows/nt
1,windows/windows
2,build/identifier
3,START/user-agent
4,nt/5.1
5,reproducible/always
6,steps/reproduce
7,actual/results
8,expected/results
9,always/steps
10,5.1/en-us
11,reproduce/1
12,x11/linux
13,linux/i686
14,net/clr
15,nt/6.1
16,2/3
17,i686/en-us
18,clr/3.5.30729
19,3/actual
20,nt/6.0
21,intel/os
22,macintosh/intel
23,nt/5.0
24,user/agent
25,build/id
26,ppc/os
27,macintosh/ppc
28,5.0/en-us
29,1/2
30,results/firefox
31,START/user
32,6.0/en-us
33,always/END
34,os/mach-o
35,1/open
36,START/created
37,6.1/wow64
38,3/END
39,mach-o/en-us
40,results/expected
41,reproducible/sometimes
42,en-us/rv:1.7.5
43,firefox/2
44,results/END
45,3.5.30729/build
46,sometimes/steps
47,en-us/rv:1.7
48,os/10.5
49,firefox/3
